
Error results for GA
Iteration 0164: 0.073 0.078
Iteration 0165: 0.073 0.079
Iteration 0166: 0.073 0.079
Iteration 0167: 0.072 0.078
Iteration 0168: 0.075 0.081
Iteration 0169: 0.072 0.077
Iteration 0170: 0.073 0.078
Iteration 0171: 0.072 0.078
Iteration 0172: 0.074 0.078
Iteration 0173: 0.072 0.077
Iteration 0174: 0.072 0.077
Iteration 0175: 0.073 0.078
Iteration 0176: 0.073 0.079
Iteration 0177: 0.073 0.079
Iteration 0178: 0.072 0.078
Iteration 0179: 0.073 0.078
Iteration 0180: 0.072 0.076
Iteration 0181: 0.073 0.078
Iteration 0182: 0.073 0.079
Iteration 0183: 0.073 0.079
Iteration 0184: 0.072 0.078
Iteration 0185: 0.073 0.079
Iteration 0186: 0.073 0.078
Iteration 0187: 0.074 0.080
Iteration 0188: 0.073 0.079
Iteration 0189: 0.072 0.077
Iteration 0190: 0.073 0.079
Iteration 0191: 0.073 0.079
Iteration 0192: 0.073 0.078
Iteration 0193: 0.073 0.079
Iteration 0194: 0.073 0.078
Iteration 0195: 0.073 0.079
Iteration 0196: 0.073 0.078
Iteration 0197: 0.073 0.079
Iteration 0198: 0.073 0.078
Iteration 0199: 0.073 0.078

Error results for GA

Iteration 0000: 0.150 0.149
Iteration 0001: 0.099 0.100
Iteration 0002: 0.135 0.135
Iteration 0003: 0.148 0.148
Iteration 0004: 0.152 0.151
Iteration 0005: 0.116 0.117
Iteration 0006: 0.199 0.197
Iteration 0007: 0.094 0.094
Iteration 0008: 0.090 0.090
Iteration 0009: 0.118 0.118
Iteration 0010: 0.077 0.078
Iteration 0011: 0.107 0.107
Iteration 0012: 0.078 0.080
Iteration 0013: 0.103 0.104
Iteration 0014: 0.081 0.082
Iteration 0015: 0.083 0.084
Iteration 0016: 0.108 0.108
Iteration 0017: 0.117 0.117
Iteration 0018: 0.079 0.080
Iteration 0019: 0.079 0.081
Iteration 0020: 0.100 0.100
Iteration 0021: 0.075 0.077
Iteration 0022: 0.104 0.104
Iteration 0023: 0.084 0.086
Iteration 0024: 0.078 0.080
Iteration 0025: 0.084 0.085
Iteration 0026: 0.090 0.091
Iteration 0027: 0.131 0.130
Iteration 0028: 0.112 0.112
Iteration 0029: 0.075 0.078
Iteration 0030: 0.090 0.091
Iteration 0031: 0.081 0.083
Iteration 0032: 0.089 0.089
Iteration 0033: 0.081 0.083
Iteration 0034: 0.074 0.076
Iteration 0035: 0.083 0.084
Iteration 0036: 0.073 0.076
Iteration 0037: 0.074 0.076
Iteration 0038: 0.077 0.078
Iteration 0039: 0.075 0.077
Iteration 0040: 0.082 0.084
Iteration 0041: 0.075 0.077
Iteration 0042: 0.075 0.077
Iteration 0043: 0.076 0.079
Iteration 0044: 0.077 0.079
Iteration 0045: 0.074 0.075
Iteration 0046: 0.078 0.079
Iteration 0047: 0.080 0.080
Iteration 0048: 0.073 0.075
Iteration 0049: 0.075 0.077
Iteration 0050: 0.120 0.119
Iteration 0051: 0.074 0.076
Iteration 0052: 0.074 0.076
Iteration 0053: 0.075 0.076
Iteration 0054: 0.085 0.086
Iteration 0055: 0.074 0.076
Iteration 0056: 0.077 0.079
Iteration 0057: 0.075 0.077
Iteration 0058: 0.074 0.076
Iteration 0059: 0.075 0.077
Iteration 0060: 0.073 0.076
Iteration 0061: 0.074 0.077
Iteration 0062: 0.073 0.075
Iteration 0063: 0.074 0.076
Iteration 0064: 0.076 0.079
Iteration 0065: 0.073 0.075
Iteration 0066: 0.075 0.077
Iteration 0067: 0.073 0.076
Iteration 0068: 0.074 0.076
Iteration 0069: 0.074 0.076
Iteration 0070: 0.073 0.075
Iteration 0071: 0.081 0.083
Iteration 0072: 0.074 0.076
Iteration 0073: 0.075 0.078
Iteration 0074: 0.073 0.075
Iteration 0075: 0.076 0.077
Iteration 0076: 0.077 0.078
Iteration 0077: 0.074 0.077
Iteration 0078: 0.074 0.077
Iteration 0079: 0.074 0.076
Iteration 0080: 0.077 0.079
Iteration 0081: 0.074 0.076
Iteration 0082: 0.074 0.077
Iteration 0083: 0.073 0.075
Iteration 0084: 0.073 0.076
Iteration 0085: 0.077 0.079
Iteration 0086: 0.074 0.076
Iteration 0087: 0.073 0.075
Iteration 0088: 0.076 0.078
Iteration 0089: 0.074 0.076
Iteration 0090: 0.077 0.080
Iteration 0091: 0.074 0.076
Iteration 0092: 0.074 0.076
Iteration 0093: 0.077 0.079
Iteration 0094: 0.084 0.085
Iteration 0095: 0.076 0.078
Iteration 0096: 0.074 0.077
Iteration 0097: 0.073 0.075
Iteration 0098: 0.078 0.080
Iteration 0099: 0.074 0.076
Iteration 0100: 0.078 0.080
Iteration 0101: 0.074 0.076
Iteration 0102: 0.074 0.076
Iteration 0103: 0.079 0.081
Iteration 0104: 0.081 0.082
Iteration 0105: 0.074 0.076
Iteration 0106: 0.076 0.077
Iteration 0107: 0.075 0.077
Iteration 0108: 0.073 0.075
Iteration 0109: 0.074 0.076
Iteration 0110: 0.077 0.080
Iteration 0111: 0.074 0.077
Iteration 0112: 0.075 0.077
Iteration 0113: 0.075 0.077
Iteration 0114: 0.074 0.076
Iteration 0115: 0.076 0.078
Iteration 0116: 0.078 0.080
Iteration 0117: 0.076 0.079
Iteration 0118: 0.075 0.077
Iteration 0119: 0.074 0.076
Iteration 0120: 0.076 0.078
Iteration 0121: 0.074 0.076
Iteration 0122: 0.074 0.077
Iteration 0123: 0.075 0.077
Iteration 0124: 0.074 0.076
Iteration 0125: 0.075 0.077
Iteration 0126: 0.075 0.078
Iteration 0127: 0.074 0.076
Iteration 0128: 0.075 0.078
Iteration 0129: 0.074 0.076
Iteration 0130: 0.074 0.075
Iteration 0131: 0.074 0.075
Iteration 0132: 0.078 0.080
Iteration 0133: 0.075 0.076
Iteration 0134: 0.075 0.076
Iteration 0135: 0.074 0.076
Iteration 0136: 0.073 0.076
Iteration 0137: 0.075 0.077
Iteration 0138: 0.074 0.076
Iteration 0139: 0.075 0.077
Iteration 0140: 0.074 0.076
Iteration 0141: 0.075 0.077
Iteration 0142: 0.074 0.076
Iteration 0143: 0.075 0.078
Iteration 0144: 0.075 0.077
Iteration 0145: 0.074 0.076
Iteration 0146: 0.075 0.077
Iteration 0147: 0.074 0.076
Iteration 0148: 0.073 0.075
Iteration 0149: 0.073 0.076
Iteration 0150: 0.074 0.076
Iteration 0151: 0.074 0.075
Iteration 0152: 0.074 0.076
Iteration 0153: 0.075 0.077
Iteration 0154: 0.073 0.075
Iteration 0155: 0.074 0.076
Iteration 0156: 0.074 0.076
Iteration 0157: 0.079 0.080
Iteration 0158: 0.079 0.080
Iteration 0159: 0.074 0.075
Iteration 0160: 0.073 0.075
Iteration 0161: 0.074 0.076
Iteration 0162: 0.075 0.076
Iteration 0163: 0.074 0.076
Iteration 0164: 0.074 0.076
Iteration 0165: 0.074 0.076
Iteration 0166: 0.074 0.076
Iteration 0167: 0.074 0.076
Iteration 0168: 0.075 0.076
Iteration 0169: 0.074 0.076
Iteration 0170: 0.075 0.077
Iteration 0171: 0.074 0.076
Iteration 0172: 0.076 0.079
Iteration 0173: 0.079 0.079
Iteration 0174: 0.074 0.076
Iteration 0175: 0.075 0.077
Iteration 0176: 0.076 0.077
Iteration 0177: 0.074 0.077
Iteration 0178: 0.074 0.076
Iteration 0179: 0.074 0.076
Iteration 0180: 0.078 0.078
Iteration 0181: 0.075 0.076
Iteration 0182: 0.074 0.076
Iteration 0183: 0.075 0.076
Iteration 0184: 0.074 0.076
Iteration 0185: 0.074 0.076
Iteration 0186: 0.075 0.076
Iteration 0187: 0.074 0.076
Iteration 0188: 0.074 0.076
Iteration 0189: 0.075 0.076
Iteration 0190: 0.074 0.075
Iteration 0191: 0.074 0.075
Iteration 0192: 0.074 0.075
Iteration 0193: 0.074 0.075
Iteration 0194: 0.074 0.076
Iteration 0195: 0.076 0.077
Iteration 0196: 0.074 0.075
Iteration 0197: 0.074 0.076
Iteration 0198: 0.075 0.076
Iteration 0199: 0.075 0.077
